Cuvant: ~If~; Parte:  ~cs~; Parte expl.: ~subordinating conjunction if, although~; Nr. intrari: ~469~
Cuvant: ~Cardinals~; Parte:  ~nns-tl~; Parte expl.: ~tag exception: nns-tl~; Nr. intrari: ~5~
Cuvant: ~heed~; Parte:  ~vb~; Parte expl.: ~verb, base form~; Nr. intrari: ~3~
Cuvant: ~Manager~; Parte:  ~nn-tl~; Parte expl.: ~tag exception: nn-tl~; Nr. intrari: ~7~
Cuvant: ~Gene~; Parte:  ~np~; Parte expl.: ~proper noun or part of name phrase~; Nr. intrari: ~8~
Cuvant: ~Mauch~; Parte:  ~np~; Parte expl.: ~proper noun or part of name phrase~; Nr. intrari: ~2~
Cuvant: ~Phillies~; Parte:  ~nps~; Parte expl.: ~plural proper noun~; Nr. intrari: ~3~
Cuvant: ~,~; Parte:  ~,~; Parte expl.: ~comma~; Nr. intrari: ~35106~
Cuvant: ~misled~; Parte:  ~vbn~; Parte expl.: ~verb, past participle~; Nr. intrari: ~2~
Cuvant: ~Pirates'~; Parte:  ~nns$-tl~; Parte expl.: ~tag exception: nns$-tl~; Nr. intrari: ~1~
Cuvant: ~slower~; Parte:  ~jjr~; Parte expl.: ~comparative adjective~; Nr. intrari: ~4~
Cuvant: ~start~; Parte:  ~nn~; Parte expl.: ~singular or mass noun~; Nr. intrari: ~37~
Cuvant: ~season~; Parte:  ~nn~; Parte expl.: ~singular or mass noun~; Nr. intrari: ~82~
Cuvant: ~.~; Parte:  ~.~; Parte expl.: ~sentence closer~; Nr. intrari: ~30410~
Cuvant: ~``~; Parte:  ~``~; Parte expl.: ~tag exception: ``~; Nr. intrari: ~5853~
Cuvant: ~Pittsburgh~; Parte:  ~np~; Parte expl.: ~proper noun or part of name phrase~; Nr. intrari: ~17~
Cuvant: ~team~; Parte:  ~nn~; Parte expl.: ~singular or mass noun~; Nr. intrari: ~62~
Cuvant: ~beat~; Parte:  ~vb~; Parte expl.: ~verb, base form~; Nr. intrari: ~19~
Cuvant: ~''~; Parte:  ~''~; Parte expl.: ~tag exception: ''~; Nr. intrari: ~5797~
Cuvant: ~day~; Parte:  ~nn~; Parte expl.: ~singular or mass noun~; Nr. intrari: ~398~
Cuvant: ~The~; Parte:  ~at~; Parte expl.: ~article a, the, no~; Nr. intrari: ~4061~
Cuvant: ~Pirates~; Parte:  ~nns-tl~; Parte expl.: ~tag exception: nns-tl~; Nr. intrari: ~8~
Cuvant: ~outclass~; Parte:  ~vb~; Parte expl.: ~verb, base form~; Nr. intrari: ~1~
Cuvant: ~field~; Parte:  ~nn~; Parte expl.: ~singular or mass noun~; Nr. intrari: ~140~
Cuvant: ~They~; Parte:  ~ppss~; Parte expl.: ~other nominative personal pronoun I, we, they, you~; Nr. intrari: ~511~
