Cuvant: ~If~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~469~
Cuvant: ~Cardinals~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~heed~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~Manager~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~Gene~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~Mauch~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Phillies~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~,~; Parte expl.: ~punctuatie~; Nr. intrari: ~35106~
Cuvant: ~misled~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~Pirates'~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~slower~; Parte expl.: ~adjectiv~; Nr. intrari: ~4~
Cuvant: ~start~; Parte expl.: ~substantiv~; Nr. intrari: ~37~
Cuvant: ~season~; Parte expl.: ~substantiv~; Nr. intrari: ~82~
Cuvant: ~.~; Parte expl.: ~punctuatie~; Nr. intrari: ~30410~
Cuvant: ~``~; Parte expl.: ~punctuatie~; Nr. intrari: ~5853~
Cuvant: ~Pittsburgh~; Parte expl.: ~substantiv~; Nr. intrari: ~17~
Cuvant: ~team~; Parte expl.: ~substantiv~; Nr. intrari: ~62~
Cuvant: ~beat~; Parte expl.: ~verb~; Nr. intrari: ~19~
Cuvant: ~''~; Parte expl.: ~punctuatie~; Nr. intrari: ~5797~
Cuvant: ~day~; Parte expl.: ~substantiv~; Nr. intrari: ~398~
Cuvant: ~The~; Parte expl.: ~articol~; Nr. intrari: ~4061~
Cuvant: ~Pirates~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~outclass~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~field~; Parte expl.: ~substantiv~; Nr. intrari: ~140~
Cuvant: ~They~; Parte expl.: ~pronume~; Nr. intrari: ~511~
Cuvant: ~age~; Parte expl.: ~substantiv~; Nr. intrari: ~104~
Cuvant: ~injuries~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~Vinegar~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Bend~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Mizell~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Bobby~; Parte expl.: ~substantiv~; Nr. intrari: ~19~
Cuvant: ~Shantz~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Tonight~; Parte expl.: ~adverb~; Nr. intrari: ~2~
Cuvant: ~o'clock~; Parte expl.: ~adverb~; Nr. intrari: ~26~
Cuvant: ~trouble~; Parte expl.: ~substantiv~; Nr. intrari: ~98~
Cuvant: ~breaking~; Parte expl.: ~verb~; Nr. intrari: ~12~
Cuvant: ~shot~; Parte expl.: ~substantiv~; Nr. intrari: ~40~
Cuvant: ~baseball's~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~champions~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~9-6~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~record~; Parte expl.: ~substantiv~; Nr. intrari: ~88~
Cuvant: ~Redbirds~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~7-9~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Change~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~pitchers~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Solly~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Hemus~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~announced~; Parte expl.: ~verb~; Nr. intrari: ~37~
Cuvant: ~switch~; Parte expl.: ~substantiv~; Nr. intrari: ~28~
Cuvant: ~starting~; Parte expl.: ~verb~; Nr. intrari: ~46~
Cuvant: ~pitcher~; Parte expl.: ~substantiv~; Nr. intrari: ~18~
Cuvant: ~Bob~; Parte expl.: ~substantiv~; Nr. intrari: ~33~
Cuvant: ~Gibson~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~Ernie~; Parte expl.: ~substantiv~; Nr. intrari: ~18~
Cuvant: ~Broglio~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~reasons~; Parte expl.: ~substantiv~; Nr. intrari: ~57~
Cuvant: ~:~; Parte expl.: ~punctuatie~; Nr. intrari: ~980~
Cuvant: ~Broglio's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~4-0~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~won-lost~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~1.24~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~earned-run~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~mark~; Parte expl.: ~substantiv~; Nr. intrari: ~24~
Cuvant: ~;~; Parte expl.: ~punctuatie~; Nr. intrari: ~3364~
Cuvant: ~desire~; Parte expl.: ~substantiv~; Nr. intrari: ~34~
Cuvant: ~starts~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~Redbirds'~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~disheartening~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~11-7~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~collapse~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Sunday~; Parte expl.: ~adverb~; Nr. intrari: ~68~
Cuvant: ~eager~; Parte expl.: ~adjectiv~; Nr. intrari: ~15~
Cuvant: ~pitching~; Parte expl.: ~verb~; Nr. intrari: ~10~
Cuvant: ~slump~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~brought~; Parte expl.: ~verb~; Nr. intrari: ~68~
Cuvant: ~losses~; Parte expl.: ~substantiv~; Nr. intrari: ~21~
Cuvant: ~games~; Parte expl.: ~substantiv~; Nr. intrari: ~42~
Cuvant: ~current~; Parte expl.: ~adjectiv~; Nr. intrari: ~46~
Cuvant: ~stand~; Parte expl.: ~substantiv~; Nr. intrari: ~24~
Cuvant: ~moved~; Parte expl.: ~verb~; Nr. intrari: ~87~
Cuvant: ~Wednesday~; Parte expl.: ~adverb~; Nr. intrari: ~18~
Cuvant: ~night~; Parte expl.: ~substantiv~; Nr. intrari: ~287~
Cuvant: ~assignment~; Parte expl.: ~substantiv~; Nr. intrari: ~37~
Cuvant: ~After~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~98~
Cuvant: ~Thursday's~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~plans~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~Larry~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~Jackson~; Parte expl.: ~substantiv~; Nr. intrari: ~26~
Cuvant: ~Cubs~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Friday~; Parte expl.: ~adverb~; Nr. intrari: ~29~
Cuvant: ~Harvey~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Haddix~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~set~; Parte expl.: ~verb~; Nr. intrari: ~96~
Cuvant: ~flu~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~start~; Parte expl.: ~verb~; Nr. intrari: ~57~
Cuvant: ~Cardinal~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~mates~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~playing~; Parte expl.: ~verb~; Nr. intrari: ~65~
Cuvant: ~captain~; Parte expl.: ~substantiv~; Nr. intrari: ~35~
Cuvant: ~Kenny~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Boyer~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~tonight's~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~game~; Parte expl.: ~substantiv~; Nr. intrari: ~96~
Cuvant: ~Busch~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Stadium~; Parte expl.: ~substantiv~; Nr. intrari: ~15~
Cuvant: ~suffering~; Parte expl.: ~verb~; Nr. intrari: ~11~
Cuvant: ~stiff~; Parte expl.: ~adjectiv~; Nr. intrari: ~17~
Cuvant: ~neck~; Parte expl.: ~substantiv~; Nr. intrari: ~55~
Cuvant: ~13-8~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~1-3~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Pirate~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Danny~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Murtaugh~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~decided~; Parte expl.: ~verb~; Nr. intrari: ~27~
Cuvant: ~Vern~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Law~; Parte expl.: ~substantiv~; Nr. intrari: ~11~
Cuvant: ~Wednesday's~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~Nieman~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~lineup~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~lengthy~; Parte expl.: ~adjectiv~; Nr. intrari: ~6~
Cuvant: ~workout~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~yesterday~; Parte expl.: ~adverb~; Nr. intrari: ~50~
Cuvant: ~stay~; Parte expl.: ~verb~; Nr. intrari: ~71~
Cuvant: ~That~; Parte expl.: ~adjectiv~; Nr. intrari: ~199~
Cuvant: ~Stan~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Musial~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~ride~; Parte expl.: ~verb~; Nr. intrari: ~16~
Cuvant: ~bench~; Parte expl.: ~substantiv~; Nr. intrari: ~24~
Cuvant: ~seventh~; Parte expl.: ~adjectiv~; Nr. intrari: ~8~
Cuvant: ~anniversary~; Parte expl.: ~substantiv~; Nr. intrari: ~15~
Cuvant: ~five-home~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Giants~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~I~; Parte expl.: ~pronume~; Nr. intrari: ~3145~
Cuvant: ~Bill~; Parte expl.: ~substantiv~; Nr. intrari: ~47~
Cuvant: ~White~; Parte expl.: ~substantiv~; Nr. intrari: ~15~
Cuvant: ~(~; Parte expl.: ~punctuatie~; Nr. intrari: ~1285~
Cuvant: ~sore~; Parte expl.: ~adjectiv~; Nr. intrari: ~6~
Cuvant: ~ankles~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~)~; Parte expl.: ~punctuatie~; Nr. intrari: ~1287~
Cuvant: ~ready~; Parte expl.: ~adjectiv~; Nr. intrari: ~103~
